,Close,High,Open,Low
115,710.6547319102054,718.8797643693093,710.0683492667806,702.8028617011333
116,712.4508826653562,718.9177199296894,712.3298004106923,704.2153020952027
117,713.915097707993,721.2578569326829,713.7068681378074,706.9313698758399
118,715.9583565734758,723.0847260945573,715.2985692430673,708.536610921557
119,717.9424475400647,725.0781173510775,717.3278684195026,710.5302467925662
120,719.8409158250909,727.0368559012741,719.3051948442204,712.4159545910575
121,721.6457256044162,728.9113494153297,721.2005556137073,714.1952737823359
122,723.3529557903879,730.6909481956843,723.0026522765702,715.8766927732803
123,724.9646346966377,732.3736817893514,724.7074916517014,717.4630852558082
124,726.4848038850978,733.9619835143836,726.3170010072649,718.9589691477831
125,727.9181066957591,735.459990454598,727.8351578204773,720.3692008663792
126,729.2692764109291,736.8723508188472,729.2665773487753,721.6985494971361
127,730.5429235623908,738.2037588368994,730.6159776294858,722.9515973225562
128,731.7434559173305,739.4587700328896,731.8879593377761,724.1327002752369
129,732.8750539851249,740.6417328758658,733.0869228859146,725.245979319054
130,733.9416689864514,741.7567688636111,734.2170426573095,726.2953250912846
131,734.9470297261971,742.8077722913473,735.2822644341267,727.2844074359432
132,735.8946527408568,743.7984177645092,736.2863120351919,728.2166865399023
133,736.7878533936785,744.7321705062088,737.2326973557565,729.0954243296597
134,737.6297569711105,745.6122974187153,738.1247314087647,729.9236955889411
135,738.4233094083653,746.4418780711994,738.9655353903779,730.7043985943719
136,739.1712875101448,747.2238152907166,739.7580513846755,731.440265205661
137,739.876308630751,747.9608452426819,740.5050525681711,732.1338704035489
138,740.5408398176044,748.655546973192,741.209152876087,732.7876412913557
139,741.1672064377123,749.310351420339,741.8728161334332,733.4038655843073
140,741.7576003120814,749.9275499150914,742.49836467,733.9846996132884
141,742.3140873843677,750.5093021969265,743.0879874440618,734.5321758697638
142,742.8386149496953,751.0576439703518,743.6437477009728,735.0482101177297
