,Close,High,Open,Low
0,709.9619491024918,718.2019797700871,710.0770829577715,702.4025382658028
1,712.5588720479755,719.2662147929043,711.6624553228676,703.9296416512921
2,714.1558051935824,721.8055393568109,713.7581657009342,707.1259519936052
3,716.3429654397913,723.726434551428,715.3673513496368,708.9835282003453
4,718.3107647568918,725.5709718577281,717.5241006949434,710.7532771039473
5,719.9679084010759,727.4516600093617,719.4539599731011,712.6417346671914
6,721.654248035854,729.1484125329482,721.1258577147782,714.2502357974786
7,723.2580019820912,730.770744263467,722.8177704523714,715.7890891862396
8,724.7424555819669,732.3430726383466,724.4202916872455,717.2899678495965
9,726.1612083155358,733.8169472468692,725.910897700401,718.677372295023
10,727.4984712567161,735.2082841781967,727.3351120721728,719.9820466265913
11,728.7493610642771,736.5235463859414,728.6765889719967,721.2155459210405
12,729.926454530713,737.7579461072405,729.9330652926081,722.3683048777493
13,731.0310665104819,738.9168801937174,731.1155667244988,723.448734873968
14,732.0654732678609,740.0051149369241,732.2252192471477,724.4625308938105
15,733.0350354863938,741.0250138717655,733.2646861756068,725.4113851012869
16,733.9431843314347,741.9806221758632,734.2390971643421,726.2996886617573
17,734.7932608843705,742.8758181756052,735.1518175749933,727.1314591238879
18,735.5890207856391,743.7139555663337,736.0062639882021,727.9097992304987
19,736.3337681807661,744.4985038371999,736.806156408387,728.638107927829
20,737.030622111035,745.2327907550829,737.5547934483351,729.3195919805987
21,737.6826302881061,745.9199010107344,738.25531351697,729.9571512025086
22,738.292625603046,746.5627963566743,738.9107682177446,730.553585498863
23,738.8632691931612,747.1642766235472,739.5239977325571,731.1115323863069
24,739.3970797436791,747.7269666848571,740.0976758699096,731.6334456829751
25,739.8964159334002,748.2533410138614,740.6343311020855,732.1216388004266
26,740.3634889415356,748.7457252012101,741.1363322424778,732.5782821607276
27,740.8003746468665,749.2062991131326,741.6059011794636,733.0054056323904
